,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,player_id,shifts,shots_blocked_by_player,assists,position_encoded
60,Alex Chiasson,1325.0,159.0,120.0,51.0,154.0,676.0,20.0,731.0,49.0,358.0,322.0,2056.0,293.0,233.0,19.0,77.0,11926.0,1516.0,921.0,203.0,195.0,112.0,651,529514.0,5.79,5.72,78.0,8475163,11926.0,196.0,113.0,3
61,Alex DeBrincat,878.0,279.0,214.0,72.0,151.0,478.0,73.0,1452.0,69.0,466.0,536.0,2295.0,128.0,437.0,20.0,109.0,11223.0,2815.0,1533.0,316.0,161.0,114.0,532,581652.0,3.96,3.9000000000000004,127.0,8479337,11223.0,200.0,223.0,3
62,Alex Formenton,253.0,37.0,23.0,8.0,31.0,136.0,4.0,138.0,11.0,95.0,59.0,247.0,61.0,39.0,1.0,19.0,2142.0,320.0,205.0,59.0,18.0,10.0,109,94229.0,1.53,1.52,31.0,8480029,2142.0,40.0,16.0,2
63,Alex Friesen,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,1.0,1.0,0.0,1,703.0,0.55,0.38,0.0,8475836,17.0,0.0,0.0,0
64,Alex Frolov,527.0,121.0,58.0,30.0,65.0,146.0,8.0,383.0,20.0,162.0,174.0,777.0,64.0,126.0,13.0,33.0,4659.0,745.0,436.0,93.0,17.0,13.0,201,218784.0,1.6300000000000001,1.6400000000000001,45.0,8468500,4659.0,49.0,68.0,2
65,Alex Galchenyuk,986.0,286.0,146.0,39.0,148.0,528.0,46.0,1191.0,61.0,427.0,490.0,2530.0,257.0,354.0,26.0,103.0,12906.0,2268.0,1276.0,197.0,1487.0,1304.0,654,577958.0,5.79,5.7700000000000005,114.0,8476851,12906.0,289.0,208.0,2
66,Alex Goligoski,3623.0,778.0,87.0,14.0,57.0,1163.0,45.0,2122.0,28.0,144.0,716.0,3542.0,372.0,471.0,8.0,107.0,27939.0,3656.0,1607.0,213.0,1.0,1.0,1072,1410812.0,8.23,8.26,145.0,8471274,27939.0,1770.0,384.0,1
67,Alex Grant,9.0,0.0,2.0,0.0,0.0,8.0,2.0,6.0,0.0,2.0,2.0,18.0,9.0,2.0,0.0,0.0,132.0,17.0,6.0,1.0,0.0,0.0,7,5431.0,1.04,1.0,1.0,8474005,132.0,2.0,0.0,1
68,Alex Henry,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2,788.0,0.25,0.2,2.0,8467392,19.0,1.0,0.0,1
69,Alex Iafallo,1613.0,105.0,97.0,35.0,115.0,333.0,30.0,954.0,32.0,316.0,379.0,1782.0,86.0,230.0,19.0,77.0,11057.0,1704.0,1006.0,185.0,90.0,64.0,502,516351.0,3.68,3.7,67.0,8480113,11057.0,326.0,133.0,0
70,Alex Kerfoot,418.0,27.0,13.0,7.0,31.0,73.0,3.0,90.0,3.0,41.0,59.0,279.0,26.0,45.0,1.0,11.0,1861.0,194.0,103.0,42.0,450.0,412.0,82,85776.0,0.45,0.44,17.0,8477021,1861.0,76.0,32.0,0
71,Alex Khokhlachev,17.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,2.0,23.0,2.0,0.0,0.0,0.0,137.0,13.0,7.0,1.0,19.0,17.0,9,5466.0,1.4,1.33,2.0,8476435,137.0,1.0,0.0,0
72,Alex Killorn,2356.0,395.0,216.0,76.0,214.0,861.0,54.0,1476.0,86.0,681.0,642.0,3207.0,515.0,501.0,37.0,130.0,18632.0,3001.0,1729.0,350.0,310.0,202.0,868,896673.0,6.46,6.42,199.0,8473986,18632.0,279.0,285.0,2
73,Alex Kovalev,487.0,205.0,62.0,25.0,67.0,111.0,22.0,537.0,15.0,170.0,228.0,926.0,168.0,153.0,10.0,37.0,4772.0,1073.0,546.0,119.0,45.0,21.0,243,261184.0,2.27,2.27,80.0,8458529,4772.0,52.0,91.0,3
74,Alex Laferriere,122.0,26.0,12.0,3.0,18.0,113.0,5.0,177.0,4.0,42.0,90.0,198.0,46.0,23.0,3.0,16.0,1366.0,319.0,147.0,21.0,6.0,7.0,81,64250.0,0.52,0.53,18.0,8482155,1366.0,27.0,11.0,3
75,Alex Newhook,394.0,63.0,42.0,10.0,37.0,138.0,13.0,264.0,19.0,130.0,109.0,522.0,54.0,100.0,5.0,22.0,3923.0,597.0,322.0,69.0,835.0,589.0,214,187214.0,2.17,2.18,30.0,8481618,3923.0,94.0,58.0,0
76,Alex Nylander,104.0,23.0,11.0,0.0,5.0,41.0,3.0,105.0,8.0,27.0,32.0,155.0,16.0,27.0,0.0,5.0,1123.0,172.0,105.0,30.0,15.0,5.0,74,53927.0,1.15,1.1400000000000001,16.0,8479423,1123.0,17.0,16.0,2
77,Alex Ovechkin,1818.0,865.0,689.0,241.0,521.0,3057.0,268.0,5837.0,180.0,1391.0,2389.0,5437.0,661.0,1239.0,58.0,375.0,25111.0,10813.0,5360.0,568.0,90.0,47.0,1180,1448544.0,9.54,9.49,363.0,8471214,25111.0,441.0,550.0,2
78,Alex Petrovic,350.0,42.0,2.0,0.0,0.0,267.0,2.0,126.0,0.0,5.0,40.0,287.0,127.0,21.0,0.0,7.0,2346.0,202.0,91.0,13.0,0.0,0.0,112,111238.0,1.85,1.82,28.0,8475755,2346.0,119.0,19.0,1
79,Alex Pietrangelo,4597.0,547.0,143.0,39.0,94.0,718.0,82.0,3231.0,22.0,184.0,1045.0,4140.0,299.0,601.0,17.0,175.0,29792.0,5085.0,2464.0,660.0,2.0,1.0,1016,1491999.0,8.38,8.38,164.0,8474565,29792.0,1956.0,458.0,1
80,Alex Plante,17.0,4.0,0.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,3.0,16.0,15.0,2.0,0.0,0.0,187.0,15.0,9.0,1.0,0.0,0.0,10,7889.0,1.37,1.35,4.0,8474046,187.0,6.0,2.0,1
81,Alex Steeves,4.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,4.0,6.0,7.0,0.0,1.0,0.0,0.0,93.0,13.0,6.0,6.0,0.0,0.0,7,3461.0,1.52,1.6400000000000001,1.0,8482634,93.0,1.0,1.0,0
82,Alex Tanguay,1314.0,263.0,106.0,35.0,92.0,241.0,27.0,502.0,44.0,265.0,245.0,1903.0,216.0,324.0,24.0,49.0,10724.0,1096.0,614.0,238.0,252.0,165.0,479,507357.0,4.12,4.12,87.0,8467338,10724.0,239.0,218.0,2
83,Alex Tuch,839.0,219.0,131.0,47.0,155.0,464.0,40.0,1109.0,44.0,365.0,480.0,1814.0,149.0,315.0,15.0,97.0,9279.0,2003.0,1149.0,380.0,326.0,216.0,454,469713.0,4.54,4.54,83.0,8477949,9279.0,322.0,184.0,3
84,Alex Turcotte,37.0,6.0,1.0,0.0,6.0,16.0,1.0,31.0,0.0,10.0,18.0,60.0,13.0,4.0,0.0,5.0,443.0,60.0,29.0,10.0,46.0,39.0,32,18210.0,1.6300000000000001,1.7,4.0,8481532,443.0,12.0,3.0,0
85,Alex Vlasic,414.0,53.0,3.0,0.0,4.0,76.0,3.0,114.0,0.0,7.0,38.0,241.0,37.0,19.0,0.0,10.0,2335.0,194.0,87.0,70.0,0.0,0.0,97,117890.0,1.2,1.21,11.0,8481568,2335.0,173.0,16.0,1
86,Alex Wennberg,1090.0,105.0,51.0,19.0,61.0,165.0,13.0,283.0,19.0,136.0,112.0,1048.0,70.0,134.0,8.0,30.0,6832.0,601.0,368.0,204.0,2419.0,2123.0,297,324054.0,2.0,2.0,52.0,8477505,6832.0,218.0,83.0,0
87,Alexander Alexeyev,158.0,28.0,1.0,0.0,0.0,82.0,1.0,79.0,0.0,2.0,33.0,68.0,12.0,8.0,0.0,5.0,1359.0,133.0,48.0,7.0,0.0,0.0,72,64277.0,1.32,1.35,1.0,8480823,1359.0,107.0,7.0,1
88,Alexander Barabanov,440.0,89.0,32.0,13.0,47.0,127.0,6.0,251.0,13.0,145.0,130.0,670.0,52.0,107.0,10.0,39.0,4177.0,565.0,313.0,95.0,6.0,3.0,206,205875.0,2.0700000000000003,2.05,30.0,8482222,4177.0,105.0,75.0,2
89,Alexander Burmistrov,732.0,148.0,37.0,11.0,33.0,491.0,11.0,456.0,15.0,140.0,194.0,805.0,139.0,101.0,5.0,24.0,6694.0,842.0,435.0,165.0,1542.0,1149.0,348,311066.0,2.84,2.8,98.0,8475788,6694.0,111.0,64.0,0
90,Alexander Chmelevski,9.0,0.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0,2.0,1.0,10.0,2.0,2.0,0.0,0.0,66.0,10.0,8.0,2.0,8.0,4.0,5,2926.0,0.48,0.51,1.0,8480053,66.0,1.0,2.0,0
91,Alexander Edler,3909.0,607.0,95.0,21.0,51.0,1516.0,56.0,2695.0,18.0,111.0,864.0,3696.0,665.0,412.0,6.0,96.0,25226.0,4352.0,1993.0,284.0,11.0,7.0,932,1261050.0,7.61,7.7,149.0,8471303,25226.0,1848.0,317.0,1
92,Alexander Holtz,97.0,29.0,19.0,6.0,17.0,55.0,9.0,172.0,4.0,41.0,75.0,283.0,24.0,34.0,3.0,17.0,1724.0,313.0,155.0,18.0,19.0,8.0,110,75579.0,1.52,1.4500000000000002,8.0,8482125,1724.0,23.0,15.0,3
