,name,icetime,x_goals,goals,unblocked_shot_attempts,x_rebounds,rebounds,x_freeze,freeze,x_on_goal,on_goal,x_play_stopped,play_stopped,x_play_continued_in_zone,play_continued_in_zone,x_play_continued_outside_zone,play_continued_outside_zone,flurry_adjusted_x_goals,low_danger_shots,medium_danger_shots,high_danger_shots,low_danger_x_goals,medium_danger_x_goals,high_danger_x_goals,low_danger_goals,medium_danger_goals,high_danger_goals,blocked_shot_attempts,penalty_minutes,penalties
62,Connor Hellebuyck,3480.7400793650795,2.80093253968254,2.5357142857142856,55.648809523809526,2.102559523809524,2.615079365079365,7.001071428571429,6.325396825396825,30.174345238095235,30.53174603174603,0.9515079365079365,0.7440476190476191,16.767083333333336,13.843253968253968,12.342896825396824,15.902777777777779,2.6682936507936508,31.261904761904763,7.986111111111111,2.8115079365079363,0.8938492063492064,0.9854365079365079,0.9216666666666666,0.7896825396825397,0.9186507936507936,0.8273809523809523,13.589285714285714,0.011904761904761904,0.005952380952380952
65,Corey Crawford,3465.5135135135133,2.4598336798336793,2.35966735966736,51.014553014553016,1.9358835758835757,2.029106029106029,6.294303534303534,6.097713097713098,27.626133056133057,28.638253638253637,0.9440748440748441,0.9854469854469855,15.351538461538462,11.948024948024948,11.321351351351352,14.945945945945946,2.3662785862785864,28.58835758835759,7.471933471933472,2.2162162162162162,0.8208108108108109,0.9023076923076923,0.7366943866943866,0.817047817047817,0.7941787941787942,0.7484407484407485,12.738045738045738,0.037422037422037424,0.02079002079002079
66,Cory Schneider,3402.621951219512,2.426292682926829,2.3073170731707315,49.79024390243902,1.8784146341463415,1.7707317073170732,6.204073170731707,6.748780487804878,27.523170731707317,28.085365853658537,0.8305121951219512,0.8560975609756097,15.240999999999998,11.673170731707318,11.410682926829269,14.58780487804878,2.336292682926829,28.29268292682927,7.675609756097561,2.1,0.8319756097560976,0.9267317073170731,0.6675121951219513,0.7878048780487805,0.8170731707317073,0.7024390243902439,11.721951219512196,0.00975609756097561,0.004878048780487805
67,Craig Anderson,3425.5879556259906,2.668177496038035,2.713153724247227,55.94611727416799,2.0915213946117275,2.1838351822503963,6.950332805071315,6.7781299524564185,30.376640253565768,31.106180665610143,0.893771790808241,0.884310618066561,17.044675118858954,13.606973058637085,12.6743264659271,16.142630744849445,2.573026941362916,32.30744849445325,7.6561014263074485,2.469096671949287,0.9192393026941362,0.9310459587955626,0.8179714738510301,0.8716323296354992,0.9445324881141046,0.8969889064976229,13.513470681458003,0.05705229793977813,0.028526148969889066
71,Curtis McElhinney,3155.798353909465,2.4352263374485594,2.4979423868312756,48.74074074074074,1.8177366255144032,1.991769547325103,6.019794238683128,5.436213991769547,26.492263374485596,26.954732510288064,0.8485185185185186,0.9958847736625515,14.86888888888889,12.242798353909466,10.943292181069959,14.02880658436214,2.329917695473251,27.83539094650206,7.246913580246914,2.230452674897119,0.8246913580246914,0.8641152263374485,0.7464609053497941,0.8148148148148148,0.9382716049382716,0.7448559670781894,11.427983539094651,0.00823045267489712,0.00411522633744856
73,Dan Ellis,3232.047904191617,2.3971257485029938,2.6107784431137726,49.209580838323355,1.8112574850299403,1.9221556886227544,5.96502994011976,5.389221556886228,26.379940119760477,26.377245508982035,0.8618562874251497,0.7784431137724551,14.662814371257486,11.694610778443113,11.04682634730539,14.520958083832335,2.3012574850299403,28.143712574850298,6.610778443113772,2.305389221556886,0.822934131736527,0.7991017964071856,0.7750299401197606,0.8562874251497006,0.874251497005988,0.8802395209580839,12.149700598802395,0.03592814371257485,0.017964071856287425
79,Darcy Kuemper,3382.5244215938305,2.5240616966580975,2.4601542416452444,53.987146529562985,1.961568123393316,2.3187660668380463,6.666041131105398,6.4910025706940875,28.658406169665806,28.532133676092545,0.917943444730077,0.910025706940874,16.032879177377893,12.979434447300772,11.91280205655527,15.028277634961439,2.409151670951157,30.123393316195372,7.5886889460154245,2.341902313624679,0.8531876606683805,0.9195886889460155,0.7513110539845758,0.9048843187660668,0.8894601542416453,0.6658097686375322,13.933161953727506,0.09254498714652956,0.04884318766066838
81,David Rittich,3230.9289340101523,2.458578680203046,2.4923857868020303,50.223350253807105,1.8664467005076142,2.1015228426395938,6.18263959390863,5.873096446700508,26.95005076142132,26.65989847715736,0.9136040609137055,0.8426395939086294,15.054670050761422,11.888324873096447,11.174568527918781,14.350253807106599,2.3663451776649747,27.883248730964468,7.543147208121828,2.299492385786802,0.821522842639594,0.9160913705583756,0.7209644670050761,0.9543147208121827,0.883248730964467,0.6548223350253807,12.49746192893401,0.09137055837563451,0.04568527918781726
82,Devan Dubnyk,3400.8837638376385,2.396918819188192,2.4723247232472323,54.291512915129154,1.9637269372693726,1.948339483394834,6.562453874538745,6.6900369003690034,28.522619926199262,28.653136531365313,0.8587453874538745,0.8413284132841329,16.158523985239853,12.686346863468634,11.981328413284134,15.31549815498155,2.3159409594095943,30.837638376383765,7.228782287822878,2.0018450184501844,0.870479704797048,0.8630073800738007,0.663339483394834,0.9040590405904059,0.8726937269372693,0.6955719557195572,14.223247232472325,0.08487084870848709,0.042435424354243544
88,Dwayne Roloson,3409.057971014493,2.694589371980676,2.78743961352657,55.79710144927536,2.0454589371980676,2.130434782608696,6.657632850241546,7.396135265700483,29.579420289855072,30.096618357487923,0.8534782608695651,0.7922705314009661,16.56294685990338,13.570048309178745,12.579710144927537,14.898550724637682,2.5926570048309174,31.28985507246377,8.043478260869565,2.3768115942028984,0.92256038647343,0.9704830917874396,0.8016425120772946,0.9323671497584541,0.9903381642512077,0.8647342995169082,14.08695652173913,0.18357487922705315,0.09178743961352658
