name,I_F_goals_all,playerId_all
Dan Hamhuis,35.0,8469465
Dan Hinote,1.0,8465175
Dan Jancevski,0.0,8467939
Dan Lacouture,2.0,8464983
Dan Renouf,0.0,8479252
Dan Sexton,13.0,8475105
Dana Tyrell,7.0,8474095
Dane Byers,1.0,8471261
Danick Martel,0.0,8478365
Daniel Alfredsson,114.0,8460621
Daniel Bang,0.0,8476835
Daniel Brickley,0.0,8480771
Daniel Briere,114.0,8464975
Daniel Carcillo,31.0,8470666
Daniel Carr,16.0,8477901
Daniel Catenacci,0.0,8476401
Daniel Cleary,81.0,8466149
Daniel O'Regan,1.0,8476982
Daniel Paille,62.0,8470230
Daniel Sedin,243.0,8467875
Daniel Sprong,85.0,8478466
Daniel Tjarnqvist,2.0,8462115
Daniel Walcott,0.0,8478069
Daniel Winnik,68.0,8471476
Daniil Miromanov,5.0,8482624
Daniil Tarasov,0.0,8476549
Danil Gushchin,2.0,8482101
Danil Yurtaykin,0.0,8481515
Danny Biega,0.0,8475732
Danny DeKeyser,31.0,8477215
Danny Irmen,0.0,8470671
Danny O'Regan,0.0,8476982
Danny Syvret,3.0,8470996
Dante Fabbro,16.0,8479371
Danton Heinen,87.0,8478046
Dany Heatley,151.0,8468482
Darcy Hordichuk,7.0,8468660
Darcy Tucker,18.0,8459574
Darnell Nurse,76.0,8477498
Darren Archibald,6.0,8475423
Darren Dietz,1.0,8476379
Darren Haydar,0.0,8468121
Darren Helm,119.0,8471794
Darren McCarty,1.0,8458982
Darren Raddysh,7.0,8478178
Darroll Powe,28.0,8473932
Darryl Boyce,6.0,8470986
Darryl Sydor,3.0,8458172
Dave Bolland,81.0,8471245
Dave Dziurzynski,3.0,8475661
Dave Scatchard,3.0,8460533
David Backes,225.0,8470655
David Booth,99.0,8471266
David Broll,0.0,8476304
David Clarkson,102.0,8470920
David Desharnais,87.0,8471976
David Farrance,0.0,8480063
David Gust,1.0,8480328
David Gustafsson,4.0,8481019
David Hale,4.0,8468502
David Jiricek,1.0,8483460
David Jones,102.0,8470877
David Kampf,43.0,8480144
David Kase,1.0,8478436
David Koci,3.0,8468626
David Krejci,225.0,8471276
David Laliberte,2.0,8471336
David Legwand,107.0,8467330
David Liffiton,1.0,8470656
David McIntyre,1.0,8473511
David Moss,63.0,8469664
David Musil,0.0,8476426
David Pastrnak,348.0,8477956
