PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"Khusnutdinov, Marat",BOS,"C, RW, LW",Left,22,2,5,7,0.0,"$925,000","$925,000",2 yrs,ELC
"Lohrei, Mason",BOS,"LD, RD",Left,24,5,24,29,0.0,"$925,000","$925,000",2 yrs,ELC
"Rizzo, Massimo",PHI,C,Left,23,0,0,0,0.0,"$925,000","$925,000",2 yrs,ELC
"Coronato, Matt",CGY,"RW, LW",Right,22,16,17,33,0.0,"$925,000","$925,000",3 yrs,ELC
"Knies, Matthew",TOR,"LW, RW",Left,22,24,19,43,0.0,"$925,000","$925,000",3 yrs,ELC
"Kapanen, Oliver",MTL,C,Right,21,0,2,2,0.0,"$925,000","$925,000",3 yrs,ELC
"Johnson, Ryan",BUF,LD,Left,23,0,0,0,0.0,"$925,000","$925,000",2 yrs,ELC
"Ufko, Ryan",NSH,RD,Right,21,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Colangelo, Sam",ANA,"LW, RW",Right,23,6,1,7,0.0,"$925,000","$925,000",2 yrs,ELC
"Buium, Shai",DET,LD,Left,21,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Broz, Tristan",PIT,C,Left,22,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Firstov, Vladislav",MIN,LW,Left,23,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Wallinder, William",DET,LD,Left,22,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Bourgault, Xavier",OTT,RW,Right,22,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Askarov, Yaroslav",SJS,G,Right,22,0,1,0,0.896,"$925,000","$925,000",3 yrs,ELC
"Rehkopf, Carson",SEA,LW,Left,20,0,0,0,0.0,"$923,333","$870,000",3 yrs,ELC
"Lutz, Julian",UTA,LW,Left,21,0,0,0,0.0,"$923,333","$870,000",3 yrs,ELC
"Dragicevic, Lukas",SEA,RD,Right,19,0,0,0,0.0,"$923,333","$870,000",3 yrs,ELC
"Molgaard, Oscar Fisker",SEA,C,Left,20,0,0,0,0.0,"$923,333","$870,000",3 yrs,ELC
"Gill, Spencer",PHI,RD,Right,18,0,0,0,0.0,"$922,500","$872,500",3 yrs,ELC
"Nadeau, Bradly",CAR,LW,Right,19,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Barlow, Colby",WPG,LW,Left,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Dvorsky, Dalibor",STL,C,Left,19,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Edstrom, David",NSH,C,Left,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Jiricek, David",MIN,RD,Right,21,0,1,1,0.0,"$918,333","$950,000",3 yrs,ELC
"Reinbacher, David",MTL,RD,Right,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Sale, Eduard",SEA,LW,Left,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Bystedt, Filip",SJS,C,Left,21,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Lekkerimaki, Jonathan",VAN,RW,Right,20,2,1,3,0.0,"$918,333","$950,000",3 yrs,ELC
"Korchinski, Kevin",CHI,LD,Left,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Bichsel, Lian",DAL,LD,Left,20,2,3,5,0.0,"$918,333","$950,000",3 yrs,ELC
"Danielson, Nate",DET,C,Right,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Bonk, Oliver",PHI,RD,Right,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Mintyukov, Pavel",ANA,"LD, RD",Left,21,5,10,15,0.0,"$918,333","$950,000",3 yrs,ELC
"Musty, Quentin",SJS,LW,Left,19,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Honzek, Samuel",CGY,LW,Left,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Nemec, Simon",NJD,RD,Right,21,1,1,2,0.0,"$918,333","$950,000",3 yrs,ELC
"Molendyk, Tanner",NSH,LD,Left,20,0,0,0,0.0,"$918,333","$950,000",3 yrs,ELC
"Benning, Mike",FLA,RD,Right,23,0,0,0,0.0,"$916,667","$925,000",3 yrs,ELC
"Morrow, Scott",CAR,RD,Right,22,0,2,2,0.0,"$916,667","$925,000",3 yrs,ELC
"Kleven, Tyler",OTT,"RD, LD",Left,23,4,2,6,0.0,"$916,667","$925,000",3 yrs,ELC
"Kaiser, Wyatt",CHI,"RD, LD",Left,22,3,3,6,0.0,"$916,667","$925,000",3 yrs,ELC
"Legault, Charles-Alexis",CAR,RD,Right,21,0,0,0,0.0,"$915,833","$870,000",3 yrs,ELC
"Barkey, Denver",PHI,C,Left,19,0,0,0,0.0,"$913,333","$870,000",3 yrs,ELC
"Slaggert, Landon",CHI,LW,Left,22,2,1,3,0.0,"$912,500","$925,000",2 yrs,ELC
"Tuch, Luke",MTL,LW,Left,23,0,0,0,0.0,"$912,500","$900,000",2 yrs,ELC
"Malmstrom, Anton",STL,LD,Left,25,0,0,0,0.0,"$910,000","$950,000",2 yrs,ELC
"Romanov, Georgi",SJS,G,Left,25,0,0,0,0.0,"$910,000","$950,000",2 yrs,ELC
"Farinacci, John",BOS,C,Right,24,0,0,0,0.0,"$910,000","$950,000",2 yrs,ELC
"Halttunen, Kasper",SJS,RW,Right,19,0,0,0,0.0,"$908,333","$920,000",3 yrs,ELC
"Mazur, Carter",DET,LW,Right,22,0,0,0,0.0,"$905,833","$925,000",3 yrs,ELC
"Blake, Jackson",CAR,RW,Right,21,11,11,22,0.0,"$905,833","$925,000",3 yrs,ELC
"Behrens, Sean",COL,LD,Left,21,0,0,0,0.0,"$905,833","$867,500",3 yrs,ELC
"Funk, Zac",WSH,RW,Left,21,0,0,0,0.0,"$905,000","$870,000",3 yrs,ELC
"Cowan, Easton",TOR,RW,Left,19,0,0,0,0.0,"$904,667","$923,500",3 yrs,ELC
"Andrae, Emil",PHI,"RD, LD",Left,23,1,5,6,0.0,"$903,333","$892,500",3 yrs,ELC
"Morin, Etienne",CGY,LD,Left,20,0,0,0,0.0,"$903,333","$895,000",3 yrs,ELC
"Stromgren, William",CGY,LW,Left,21,0,0,0,0.0,"$900,833","$892,500",3 yrs,ELC
"Lyon, Alex",DET,G,Left,32,0,0,0,0.9,"$900,000","$900,000",2 yrs,Std
