PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"Matthews, Auston",TOR,C,Left,27,23,33,56,0.0,"$13,250,000","$16,700,000",4 yrs,Std (Ext)
"MacKinnon, Nathan",COL,C,Right,29,27,75,102,0.0,"$12,600,000","$16,500,000",8 yrs,Std (Ext)
"McDavid, Connor",EDM,"C, RW",Left,28,24,61,85,0.0,"$12,500,000","$10,000,000",8 yrs,Std (Ext)
"Panarin, Artemi",NYR,"RW, LW",Right,33,28,41,69,0.0,"$11,642,857","$10,000,000",7 yrs,Std
"Pettersson, Elias",VAN,"C, LW",Left,26,14,25,39,0.0,"$11,600,000","$14,500,000",8 yrs,Std (Ext)
"Karlsson, Erik",PIT,RD,Right,34,9,39,48,0.0,"$11,500,000","$11,000,000",8 yrs,Std (Ext)
"Nylander, William",TOR,RW,Right,28,36,31,67,0.0,"$11,500,000","$13,500,000",8 yrs,Std (Ext)
"Pastrnak, David",BOS,RW,Right,28,34,48,82,0.0,"$11,250,000","$13,000,000",8 yrs,Std (Ext)
"Doughty, Drew",LAK,"RD, LD",Right,35,2,6,8,0.0,"$11,000,000","$11,000,000",8 yrs,Std (Ext)
"Tavares, John",TOR,C,Left,34,27,29,56,0.0,"$11,000,000","$7,950,000",7 yrs,Std
"Dahlin, Rasmus",BUF,"LD, RD",Left,24,11,40,51,0.0,"$11,000,000","$13,000,000",8 yrs,Std (Ext)
"Marner, Mitch",TOR,"RW, LW",Right,27,21,59,80,0.0,"$10,903,000","$8,025,000",6 yrs,Std
"Price, Carey",MTL,G,Left,37,0,0,0,0.0,"$10,500,000","$7,500,000",8 yrs,Std (Ext)
"Huberdeau, Jonathan",CGY,"RW, LW",Left,31,25,24,49,0.0,"$10,500,000","$10,500,000",8 yrs,Std (Ext)
"Barkov, Aleksander",FLA,C,Left,29,17,43,60,0.0,"$10,000,000","$12,000,000",8 yrs,Std (Ext)
"Eichel, Jack",VGK,"C, LW",Right,28,20,59,79,0.0,"$10,000,000","$10,000,000",8 yrs,Std (Ext)
"Bobrovsky, Sergei",FLA,G,Left,36,0,0,0,0.907,"$10,000,000","$6,500,000",7 yrs,Std
"Seguin, Tyler",DAL,C,Right,33,9,11,20,0.0,"$9,850,000","$8,000,000",8 yrs,Std (Ext)
"Gaudreau, Johnny",CBJ,"LW, RW",Left,31,0,0,0,0.0,"$9,750,000","$9,750,000",7 yrs,Std
"Aho, Sebastian",CAR,"C, LW",Left,27,24,38,62,0.0,"$9,750,000","$12,000,000",8 yrs,Std (Ext)
"Werenski, Zach",CBJ,LD,Left,27,20,49,69,0.0,"$9,583,333","$11,500,000",6 yrs,Std
"Fox, Adam",NYR,RD,Right,27,5,43,48,0.0,"$9,500,000","$12,000,000",7 yrs,Std (Ext)
"Ovechkin, Alex",WSH,"LW, RW",Right,39,33,20,53,0.0,"$9,500,000","$11,000,000",5 yrs,Std (Ext)
"Vasilevskiy, Andrei",TBL,G,Left,30,0,2,0,0.92,"$9,500,000","$10,000,000",8 yrs,Std (Ext)
"Point, Brayden",TBL,"C, RW",Right,29,32,33,65,0.0,"$9,500,000","$12,000,000",8 yrs,Std (Ext)
"McAvoy, Charlie",BOS,RD,Right,27,7,16,23,0.0,"$9,500,000","$11,500,000",8 yrs,Std (Ext)
"Benn, Jamie",DAL,"LW, C",Left,35,16,24,40,0.0,"$9,500,000","$6,500,000",8 yrs,Std (Ext)
"Stone, Mark",VGK,RW,Right,32,17,40,57,0.0,"$9,500,000","$11,000,000",8 yrs,Std (Ext)
"Tkachuk, Matthew",FLA,LW,Left,27,22,35,57,0.0,"$9,500,000","$11,250,000",8 yrs,Std
"Kucherov, Nikita",TBL,RW,Left,31,28,64,92,0.0,"$9,500,000","$9,000,000",8 yrs,Std (Ext)
"Jones, Seth",FLA,RD,Right,30,7,20,27,0.0,"$9,500,000","$12,500,000",8 yrs,Std (Ext)
"Nurse, Darnell",EDM,"LD, RD",Left,30,5,19,24,0.0,"$9,250,000","$12,000,000",8 yrs,Std (Ext)
"Rantanen, Mikko",DAL,RW,Left,28,25,39,64,0.0,"$9,250,000","$6,000,000",6 yrs,Std
"Backstrom, Nicklas",WSH,C,Left,37,0,0,0,0.0,"$9,200,000","$8,000,000",5 yrs,Std (Ext)
"Barzal, Mathew",NYI,"RW, C, LW",Right,27,6,14,20,0.0,"$9,150,000","$9,150,000",8 yrs,Std (Ext)
"Josi, Roman",NSH,LD,Left,34,9,29,38,0.0,"$9,059,000","$9,000,000",8 yrs,Std (Ext)
"Makar, Cale",COL,RD,Right,26,24,51,75,0.0,"$9,000,000","$10,600,000",6 yrs,Std (Ext)
"Hamilton, Dougie",NJD,RD,Right,31,9,31,40,0.0,"$9,000,000","$12,600,000",7 yrs,Std
"Guentzel, Jake",TBL,"LW, C",Left,30,32,31,63,0.0,"$9,000,000","$13,263,157",7 yrs,Std (Ext)
"Kaprizov, Kirill",MIN,"RW, LW",Left,27,23,29,52,0.0,"$9,000,000","$10,000,000",5 yrs,Std
"Pietrangelo, Alex",VGK,RD,Right,35,4,23,27,0.0,"$8,800,000","$12,500,000",7 yrs,Std
"Meier, Timo",NJD,"RW, C, LW",Left,28,18,25,43,0.0,"$8,800,000","$11,100,000",8 yrs,Std (Ext)
"Larkin, Dylan",DET,C,Left,28,27,32,59,0.0,"$8,700,000","$11,000,000",8 yrs,Std (Ext)
"Laine, Patrik",MTL,"LW, RW",Right,26,15,11,26,0.0,"$8,700,000","$9,100,000",4 yrs,Std
"Crosby, Sidney",PIT,C,Left,37,23,49,72,0.0,"$8,700,000","$3,000,000",12 yrs,Std (Ext)
"Reinhart, Sam",FLA,"LW, RW, C",Right,29,32,38,70,0.0,"$8,625,000","$11,000,000",8 yrs,Std (Ext)
"Seider, Moritz",DET,RD,Right,23,7,31,38,0.0,"$8,550,000","$8,550,000",7 yrs,Std (Ext)
"Horvat, Bo",NYI,"C, RW, LW",Left,29,21,23,44,0.0,"$8,500,000","$8,500,000",8 yrs,Std (Ext)
"Hellebuyck, Connor",WPG,G,Left,31,0,1,0,0.927,"$8,500,000","$10,000,000",7 yrs,Std (Ext)
"Forsberg, Filip",NSH,LW,Right,30,25,34,59,0.0,"$8,500,000","$10,000,000",8 yrs,Std (Ext)
"Draisaitl, Leon",EDM,"C, RW",Left,29,49,51,100,0.0,"$8,500,000","$8,000,000",8 yrs,Std
"Scheifele, Mark",WPG,C,Right,32,35,40,75,0.0,"$8,500,000","$10,000,000",7 yrs,Std (Ext)
"Zibanejad, Mika",NYR,C,Right,31,15,33,48,0.0,"$8,500,000","$10,500,000",8 yrs,Std (Ext)
"Sergachev, Mikhail",UTA,LD,Left,26,11,32,43,0.0,"$8,500,000","$11,050,000",8 yrs,Std (Ext)
"Dubois, Pierre-Luc",WSH,"C, RW, LW",Left,26,17,40,57,0.0,"$8,500,000","$11,250,000",8 yrs,Std (Ext)
"Heiskanen, Miro",DAL,"LD, RD",Left,25,5,20,25,0.0,"$8,450,000","$11,000,000",8 yrs,Std (Ext)
"Hintz, Roope",DAL,"RW, C",Left,28,25,27,52,0.0,"$8,450,000","$11,250,000",8 yrs,Std (Ext)
"Power, Owen",BUF,"LD, RD",Left,22,6,26,32,0.0,"$8,350,000","$8,350,000",7 yrs,Std (Ext)
"Stützle, Tim",OTT,"C, LW, RW",Left,23,20,47,67,0.0,"$8,350,000","$6,500,000",8 yrs,Std (Ext)
"Sorokin, Ilya",NYI,G,Left,29,1,0,0,0.907,"$8,250,000","$8,250,000",8 yrs,Std (Ext)
"Swayman, Jeremy",BOS,G,Left,26,0,0,0,0.897,"$8,250,000","$10,000,000",8 yrs,Std
"Tkachuk, Brady",OTT,LW,Left,25,27,25,52,0.0,"$8,205,714","$10,500,000",7 yrs,Std
"Hertl, Tomas",VGK,C,Left,31,27,27,54,0.0,"$8,137,500","$10,250,000",8 yrs,Std (Ext)
"Kyrou, Jordan",STL,"RW, C",Right,26,24,26,50,0.0,"$8,125,000","$10,900,000",8 yrs,Std (Ext)
"Thomas, Robert",STL,C,Right,25,17,35,52,0.0,"$8,125,000","$10,900,000",8 yrs,Std (Ext)
"Raymond, Lucas",DET,"LW, RW",Right,22,22,46,68,0.0,"$8,075,000","$8,075,000",8 yrs,Std (Ext)
"Sanderson, Jake",OTT,LD,Left,22,6,39,45,0.0,"$8,050,000","$8,050,000",8 yrs,Std (Ext)
"Burns, Brent",CAR,RD,Right,40,5,18,23,0.0,"$8,000,000","$5,000,000",8 yrs,Std (Ext)
"Miller, J.T.",NYR,"C, LW",Left,32,9,26,35,0.0,"$8,000,000","$9,000,000",7 yrs,Std (Ext)
"Hughes, Jack",NJD,"LW, RW, C",Left,23,27,43,70,0.0,"$8,000,000","$8,500,000",8 yrs,Std (Ext)
"Trouba, Jacob",ANA,RD,Right,31,0,6,6,0.0,"$8,000,000","$6,000,000",7 yrs,Std
"Carlson, John",WSH,"RD, LD",Right,35,4,39,43,0.0,"$8,000,000","$6,000,000",8 yrs,Std (Ext)
"Couture, Logan",SJS,C,Left,35,0,0,0,0.0,"$8,000,000","$7,000,000",8 yrs,Std (Ext)
"Johansen, Ryan",PHI,C,Right,32,0,0,0,0.0,"$8,000,000","$8,000,000",8 yrs,Std
"Stamkos, Steven",NSH,"RW, LW, C",Right,35,22,20,42,0.0,"$8,000,000","$9,500,000",4 yrs,Std
"Chabot, Thomas",OTT,"RD, LD",Left,28,5,27,32,0.0,"$8,000,000","$10,000,000",8 yrs,Std (Ext)
"Norris, Josh",BUF,"C, LW",Left,25,20,13,33,0.0,"$7,950,000","$9,500,000",8 yrs,Std
"DeBrincat, Alex",DET,"RW, LW",Right,27,31,27,58,0.0,"$7,875,000","$8,250,000",4 yrs,Std
"Bratt, Jesper",NJD,"LW, RW",Left,26,19,57,76,0.0,"$7,875,000","$9,000,000",8 yrs,Std (Ext)
"Fiala, Kevin",LAK,"RW, LW",Left,28,25,19,44,0.0,"$7,875,000","$8,750,000",7 yrs,Std (Ext)
"Suzuki, Nick",MTL,"C, RW",Right,25,20,49,69,0.0,"$7,875,000","$10,000,000",8 yrs,Std (Ext)
"Hedman, Victor",TBL,LD,Left,34,11,40,51,0.0,"$7,875,000","$7,000,000",8 yrs,Std (Ext)
"Weber, Shea",CHI,RD,Right,39,0,0,0,0.0,"$7,857,143","$1,000,000",14 yrs,Std
"Caufield, Cole",MTL,"RW, LW",Right,24,32,27,59,0.0,"$7,850,000","$9,975,000",8 yrs,Std (Ext)
"Hughes, Quinn",VAN,LD,Left,25,14,47,61,0.0,"$7,850,000","$9,500,000",6 yrs,Std
"Svechnikov, Andrei",CAR,"RW, LW",Left,24,18,25,43,0.0,"$7,750,000","$9,000,000",8 yrs,Std
"Orlov, Dmitry",CAR,"LD, RD",Left,33,4,20,24,0.0,"$7,750,000","$7,750,000",2 yrs,Std
"Lindholm, Elias",BOS,"C, RW, LW",Right,30,11,23,34,0.0,"$7,750,000","$10,000,000",7 yrs,Std
"Robertson, Jason",DAL,LW,Left,25,28,38,66,0.0,"$7,750,000","$9,200,000",4 yrs,Std
"Couturier, Sean",PHI,C,Left,32,10,22,32,0.0,"$7,750,000","$9,000,000",8 yrs,Std (Ext)
"Spurgeon, Jared",MIN,RD,Right,35,7,19,26,0.0,"$7,575,000","$8,000,000",7 yrs,Std (Ext)
"Ekblad, Aaron",FLA,RD,Right,29,3,30,33,0.0,"$7,500,000","$7,000,000",8 yrs,Std (Ext)
"Rielly, Morgan",TOR,LD,Left,31,7,26,33,0.0,"$7,500,000","$10,000,000",8 yrs,Std (Ext)
"Jarvis, Seth",CAR,"RW, LW, C",Right,23,26,24,50,0.0,"$7,420,087","$10,950,000",8 yrs,Std
"Hanifin, Noah",VGK,LD,Left,28,9,23,32,0.0,"$7,350,000","$9,500,000",8 yrs,Std (Ext)
"Dunn, Vince",SEA,"LD, RD",Left,28,11,20,31,0.0,"$7,350,000","$8,000,000",4 yrs,Std
"Toews, Devon",COL,LD,Left,31,7,25,32,0.0,"$7,250,000","$7,750,000",7 yrs,Std (Ext)
"Hronek, Filip",VAN,"RD, LD",Right,27,4,21,25,0.0,"$7,250,000","$9,500,000",8 yrs,Std (Ext)
"Hischier, Nico",NJD,C,Left,26,27,24,51,0.0,"$7,250,000","$7,750,000",7 yrs,Std (Ext)
"Keller, Clayton",UTA,"RW, LW, C",Left,26,23,51,74,0.0,"$7,150,000","$7,000,000",8 yrs,Std (Ext)
"Montour, Brandon",SEA,RD,Right,30,16,21,37,0.0,"$7,142,857","$8,000,000",7 yrs,Std
"Hayes, Kevin",PIT,"C, RW",Left,32,9,9,18,0.0,"$7,142,857","$5,250,000",7 yrs,Std (Ext)
"Connor, Kyle",WPG,"RW, LW",Left,28,35,49,84,0.0,"$7,142,857","$7,500,000",7 yrs,Std
"Beniers, Matty",SEA,C,Left,22,16,20,36,0.0,"$7,142,857","$7,150,000",7 yrs,Std
"Thompson, Tage",BUF,"C, LW",Right,27,34,24,58,0.0,"$7,142,857","$7,142,857",7 yrs,Std (Ext)
"Cozens, Dylan",OTT,"C, RW",Right,24,11,20,31,0.0,"$7,100,000","$7,100,000",7 yrs,Std (Ext)
"Lee, Anders",NYI,"LW, RW",Left,34,25,20,45,0.0,"$7,000,000","$5,850,000",7 yrs,Std
"Kopitar, Anze",LAK,C,Left,37,16,37,53,0.0,"$7,000,000","$7,000,000",2 yrs,Std (Ext)
"Skjei, Brady",NSH,LD,Left,30,8,16,24,0.0,"$7,000,000","$10,000,000",7 yrs,Std
"Landeskog, Gabriel",COL,LW,Left,32,0,0,0,0.0,"$7,000,000","$9,000,000",8 yrs,Std (Ext)
"Vlasic, Marc-Edouard",SJS,"LD, RD",Left,37,0,2,2,0.0,"$7,000,000","$7,000,000",8 yrs,Std (Ext)
"Boldy, Matt",MIN,LW,Left,23,21,34,55,0.0,"$7,000,000","$9,700,000",7 yrs,Std (Ext)
"Kadri, Nazem",CGY,C,Left,34,23,25,48,0.0,"$7,000,000","$7,000,000",7 yrs,Std
"Terry, Troy",ANA,"RW, LW",Right,27,18,31,49,0.0,"$7,000,000","$7,000,000",7 yrs,Std
"Provorov, Ivan",CBJ,"LD, RD",Left,28,7,21,28,0.0,"$6,750,000","$8,625,000",6 yrs,Std
"McDonagh, Ryan",TBL,"LD, RD",Left,35,2,19,21,0.0,"$6,750,000","$6,930,000",7 yrs,Std (Ext)
"Boeser, Brock",VAN,RW,Right,28,18,20,38,0.0,"$6,650,000","$6,650,000",3 yrs,Std (Ext)
"Hagel, Brandon",TBL,"LW, RW",Left,26,30,42,72,0.0,"$6,500,000","$9,000,000",8 yrs,Std (Ext)
"Schenn, Brayden",STL,"C, LW, RW",Left,33,14,26,40,0.0,"$6,500,000","$8,000,000",8 yrs,Std (Ext)
"Gallagher, Brendan",MTL,RW,Right,32,15,10,25,0.0,"$6,500,000","$9,000,000",6 yrs,Std (Ext)
"Fowler, Cam",STL,"LD, RD",Left,33,0,4,4,0.0,"$6,500,000","$7,500,000",8 yrs,Std (Ext)
"Kreider, Chris",NYR,"LW, RW",Left,33,18,4,22,0.0,"$6,500,000","$5,000,000",7 yrs,Std (Ext)
"Giroux, Claude",OTT,"C, RW",Right,37,13,29,42,0.0,"$6,500,000","$5,500,000",3 yrs,Std
"Parayko, Colton",STL,RD,Right,31,15,20,35,0.0,"$6,500,000","$8,000,000",8 yrs,Std (Ext)
"Lindholm, Hampus",BOS,LD,Left,31,3,4,7,0.0,"$6,500,000","$8,000,000",8 yrs,Std (Ext)
"Faulk, Justin",STL,RD,Right,32,2,22,24,0.0,"$6,500,000","$4,750,000",7 yrs,Std (Ext)
"Necas, Martin",COL,"RW, LW, C",Right,26,16,39,55,0.0,"$6,500,000","$6,000,000",2 yrs,Std
"Wilson, Tom",WSH,RW,Right,30,29,25,54,0.0,"$6,500,000","$9,000,000",7 yrs,Std (Ext)
"Krug, Torey",STL,LD,Left,33,0,0,0,0.0,"$6,500,000","$8,500,000",7 yrs,Std
"Gibson, John",ANA,G,Left,31,0,1,0,0.91,"$6,400,000","$6,400,000",8 yrs,Std (Ext)
"Killorn, Alex",ANA,"LW, RW",Left,35,15,13,28,0.0,"$6,250,000","$6,250,000",4 yrs,Std
"Cirelli, Anthony",TBL,"C, RW",Left,27,20,25,45,0.0,"$6,250,000","$8,125,000",8 yrs,Std (Ext)
"Stephenson, Chandler",SEA,C,Left,30,11,35,46,0.0,"$6,250,000","$6,250,000",7 yrs,Std
"Severson, Damon",CBJ,"RD, LD",Right,30,6,18,24,0.0,"$6,250,000","$8,000,000",8 yrs,Std (Ext)
"Petry, Jeff",DET,RD,Right,37,1,5,6,0.0,"$6,250,000","$5,000,000",4 yrs,Std (Ext)
"Morrissey, Josh",WPG,LD,Left,29,10,42,52,0.0,"$6,250,000","$6,400,000",8 yrs,Std (Ext)
"Weegar, MacKenzie",CGY,"LD, RD",Right,31,7,32,39,0.0,"$6,250,000","$6,250,000",8 yrs,Std (Ext)
"Ekholm, Mattias",EDM,"LD, RD",Left,34,8,19,27,0.0,"$6,250,000","$6,500,000",4 yrs,Std (Ext)
"Byfield, Quinton",LAK,"RW, LW",Left,22,16,23,39,0.0,"$6,250,000","$6,275,000",5 yrs,Std
"Ellis, Ryan",PHI,RD,Right,34,0,0,0,0.0,"$6,250,000","$6,500,000",8 yrs,Std (Ext)
"Sanheim, Travis",PHI,"RD, LD",Left,28,6,21,27,0.0,"$6,250,000","$8,125,000",8 yrs,Std (Ext)
"Tippett, Owen",PHI,"LW, RW",Right,26,19,17,36,0.0,"$6,200,000","$6,000,000",8 yrs,Std (Ext)
"Pulock, Ryan",NYI,RD,Right,30,4,14,18,0.0,"$6,150,000","$6,150,000",8 yrs,Std
"Marchand, Brad",FLA,"LW, RW, C",Left,36,21,26,47,0.0,"$6,125,000","$4,000,000",8 yrs,Std (Ext)
"Nichushkin, Valeri",COL,"LW, RW",Left,30,16,8,24,0.0,"$6,125,000","$8,000,000",8 yrs,Std (Ext)
"Malkin, Evgeni",PIT,C,Left,38,13,30,43,0.0,"$6,100,000","$5,600,000",4 yrs,Std (Ext)
"Letang, Kris",PIT,"RD, LD",Right,37,8,18,26,0.0,"$6,100,000","$6,200,000",6 yrs,Std (Ext)
"Nelson, Brock",COL,"C, LW",Left,33,20,23,43,0.0,"$6,000,000","$4,000,000",6 yrs,Std (Ext)
"Markstrom, Jacob",NJD,G,Left,35,0,0,0,0.906,"$6,000,000","$6,000,000",6 yrs,Std
"Brodin, Jonas",MIN,LD,Left,31,4,14,18,0.0,"$6,000,000","$8,000,000",7 yrs,Std (Ext)
"Binnington, Jordan",STL,G,Left,31,0,0,0,0.897,"$6,000,000","$7,500,000",6 yrs,Std (Ext)
"Ehlers, Nikolaj",WPG,"LW, RW",Left,29,21,36,57,0.0,"$6,000,000","$6,750,000",7 yrs,Std (Ext)
"Palat, Ondrej",NJD,LW,Left,33,13,12,25,0.0,"$6,000,000","$4,950,000",5 yrs,Std
"Durzi, Sean",UTA,"RD, LD",Right,26,1,3,4,0.0,"$6,000,000","$7,100,000",4 yrs,Std (Ext)
"Hall, Taylor",CAR,LW,Left,33,9,15,24,0.0,"$6,000,000","$5,250,000",4 yrs,Std (Ext)
"Toffoli, Tyler",SJS,"RW, C",Right,32,25,19,44,0.0,"$6,000,000","$6,000,000",4 yrs,Std
"Grubauer, Philipp",SEA,G,Left,33,0,0,0,0.872,"$5,900,000","$6,800,000",6 yrs,Std
"Karlsson, William",VGK,C,Left,32,7,11,18,0.0,"$5,900,000","$5,600,000",8 yrs,Std (Ext)
"Pionk, Neal",WPG,RD,Right,29,9,28,37,0.0,"$5,875,000","$6,000,000",4 yrs,Std
"Gavrikov, Vladislav",LAK,LD,Left,29,4,20,24,0.0,"$5,875,000","$5,250,000",2 yrs,Std (Ext)
"Schmaltz, Nick",UTA,"LW, RW, C",Right,29,16,35,51,0.0,"$5,850,000","$8,450,000",7 yrs,Std (Ext)
"Mangiapane, Andrew",WSH,LW,Left,28,11,11,22,0.0,"$5,800,000","$5,800,000",3 yrs,Std
"Lindell, Esa",DAL,"LD, RD",Left,30,4,16,20,0.0,"$5,800,000","$5,000,000",6 yrs,Std (Ext)
"Buchnevich, Pavel",STL,"LW, C",Left,29,13,31,44,0.0,"$5,800,000","$6,300,000",4 yrs,Std (Ext)
"Pelech, Adam",NYI,LD,Left,30,0,17,17,0.0,"$5,750,000","$5,750,000",8 yrs,Std
"Mittelstadt, Casey",BOS,C,Left,26,11,23,34,0.0,"$5,750,000","$5,750,000",3 yrs,Std (Ext)
"Forsling, Gustav",FLA,LD,Left,28,9,13,22,0.0,"$5,750,000","$6,525,000",8 yrs,Std (Ext)
"Roy, Matt",WSH,RD,Right,30,2,19,21,0.0,"$5,750,000","$700,000",6 yrs,Std
"Oshie, T.J.",WSH,RW,Right,38,0,0,0,0.0,"$5,750,000","$4,000,000",8 yrs,Std (Ext)
"Zegras, Trevor",ANA,"LW, C, RW",Left,23,7,14,21,0.0,"$5,750,000","$5,750,000",3 yrs,Std
"Shesterkin, Igor",NYR,G,Left,29,0,0,0,0.906,"$5,666,667","$6,666,667",4 yrs,Std
"Copp, Andrew",DET,"C, RW",Left,30,10,13,23,0.0,"$5,625,000","$6,250,000",5 yrs,Std
"Trocheck, Vincent",NYR,C,Right,31,18,25,43,0.0,"$5,625,000","$6,375,000",7 yrs,Std
"Kempe, Adrian",LAK,"LW, RW",Left,28,27,26,53,0.0,"$5,500,000","$5,500,000",4 yrs,Std (Ext)
"Burakovsky, Andre",SEA,"LW, RW",Left,30,6,18,24,0.0,"$5,500,000","$6,250,000",5 yrs,Std
"Kuzmenko, Andrei",LAK,"LW, RW",Right,29,4,11,15,0.0,"$5,500,000","$5,500,000",2 yrs,Std (Ext)
"Pesce, Brett",NJD,RD,Right,30,3,11,14,0.0,"$5,500,000","$7,000,000",6 yrs,Std
"Schwartz, Jaden",SEA,"RW, LW, C",Left,32,19,20,39,0.0,"$5,500,000","$6,000,000",5 yrs,Std
"DeBrusk, Jake",VAN,"RW, LW",Left,28,23,14,37,0.0,"$5,500,000","$6,500,000",7 yrs,Std
"Marchessault, Jonathan",NSH,"RW, C",Right,34,19,29,48,0.0,"$5,500,000","$7,000,000",5 yrs,Std
"Anderson, Josh",MTL,"RW, LW",Right,30,10,10,20,0.0,"$5,500,000","$7,000,000",7 yrs,Std (Ext)
"Danault, Phillip",LAK,C,Left,32,6,28,34,0.0,"$5,500,000","$6,750,000",6 yrs,Std
"Monahan, Sean",CBJ,C,Left,30,14,27,41,0.0,"$5,500,000","$7,000,000",5 yrs,Std
"Konecny, Travis",PHI,"RW, LW",Right,28,22,43,65,0.0,"$5,500,000","$7,000,000",6 yrs,Std
"Bertuzzi, Tyler",CHI,LW,Left,30,17,17,34,0.0,"$5,500,000","$7,000,000",4 yrs,Std
"Hyman, Zach",EDM,"LW, RW",Right,32,22,15,37,0.0,"$5,500,000","$7,700,000",7 yrs,Std
"Merzlikins, Elvis",CBJ,G,Left,30,0,0,0,0.896,"$5,400,000","$6,000,000",5 yrs,Std (Ext)
"Bjorkstrand, Oliver",TBL,RW,Right,29,16,21,37,0.0,"$5,400,000","$5,900,000",5 yrs,Std (Ext)
"Teravainen, Teuvo",CHI,"LW, RW, C",Left,30,15,36,51,0.0,"$5,400,000","$6,200,000",3 yrs,Std
"Jarry, Tristan",PIT,G,Left,29,0,1,0,0.894,"$5,375,000","$6,400,000",5 yrs,Std
"Slavin, Jaccob",CAR,LD,Left,30,6,17,23,0.0,"$5,300,000","$5,200,000",7 yrs,Std (Ext)
"Coyle, Charlie",COL,C,Right,33,15,7,22,0.0,"$5,250,000","$4,500,000",6 yrs,Std (Ext)
"Kuemper, Darcy",LAK,G,Left,34,0,1,0,0.917,"$5,250,000","$6,000,000",5 yrs,Std
"Eriksson Ek, Joel",MIN,C,Left,28,9,15,24,0.0,"$5,250,000","$9,000,000",8 yrs,Std (Ext)
"Cernak, Erik",TBL,"RD, LD",Right,27,3,15,18,0.0,"$5,200,000","$6,760,000",8 yrs,Std (Ext)
"Theodore, Shea",VGK,LD,Left,29,7,41,48,0.0,"$5,200,000","$5,200,000",7 yrs,Std
"Gourde, Yanni",TBL,"C, LW",Left,33,6,11,17,0.0,"$5,166,666","$5,100,000",6 yrs,Std (Ext)
"Rust, Bryan",PIT,"RW, LW",Right,32,22,27,49,0.0,"$5,125,000","$6,100,000",6 yrs,Std (Ext)
"Kane, Evander",EDM,"LW, RW",Left,33,0,0,0,0.0,"$5,125,000","$4,750,000",4 yrs,Std (Ext)
"Nugent-Hopkins, Ryan",EDM,"RW, C",Left,31,16,23,39,0.0,"$5,125,000","$6,250,000",8 yrs,Std (Ext)
"Compher, J.T.",DET,"C, LW",Right,29,7,18,25,0.0,"$5,100,000","$5,500,000",5 yrs,Std
"Ristolainen, Rasmus",PHI,RD,Right,30,4,15,19,0.0,"$5,100,000","$6,500,000",5 yrs,Std (Ext)
"Wennberg, Alexander",SJS,C,Left,30,8,23,31,0.0,"$5,000,000","$5,000,000",2 yrs,Std
"Lundell, Anton",FLA,C,Left,23,15,26,41,0.0,"$5,000,000","$5,900,000",6 yrs,Std
"Petersen, Cal",PHI,G,Right,30,0,0,0,0.0,"$5,000,000","$6,000,000",3 yrs,Std (Ext)
"Strome, Dylan",WSH,C,Left,28,20,44,64,0.0,"$5,000,000","$6,000,000",5 yrs,Std (Ext)
"Barbashev, Ivan",VGK,"LW, C",Left,29,19,22,41,0.0,"$5,000,000","$5,400,000",5 yrs,Std (Ext)
"McCann, Jared",SEA,"LW, C",Left,28,16,29,45,0.0,"$5,000,000","$5,500,000",5 yrs,Std (Ext)
"Zucker, Jason",BUF,"LW, RW",Left,33,18,26,44,0.0,"$5,000,000","$5,000,000",1 yrs,Std
"Pageau, Jean-Gabriel",NYI,C,Right,32,12,22,34,0.0,"$5,000,000","$4,000,000",6 yrs,Std (Ext)
"Farabee, Joel",CGY,LW,Left,25,8,11,19,0.0,"$5,000,000","$5,000,000",6 yrs,Std (Ext)
"Saros, Juuse",NSH,G,Left,29,0,1,0,0.898,"$5,000,000","$5,000,000",4 yrs,Std
"Palmieri, Kyle",NYI,"RW, LW, C",Right,34,20,21,41,0.0,"$5,000,000","$5,000,000",4 yrs,Std
"Ullmark, Linus",OTT,G,Left,31,0,1,0,0.912,"$5,000,000","$4,500,000",4 yrs,Std
"Granlund, Mikael",DAL,C,Left,33,15,30,45,0.0,"$5,000,000","$5,000,000",4 yrs,Std
"Zadorov, Nikita",BOS,"LD, RD",Left,29,4,13,17,0.0,"$5,000,000","$6,000,000",6 yrs,Std
"Smith, Reilly",VGK,"RW, LW",Left,33,10,19,29,0.0,"$5,000,000","$4,000,000",3 yrs,Std
"Rakell, Rickard",PIT,"RW, LW",Right,31,30,28,58,0.0,"$5,000,000","$6,000,000",6 yrs,Std (Ext)
"Strome, Ryan",ANA,"LW, C, RW",Right,31,10,27,37,0.0,"$5,000,000","$5,000,000",5 yrs,Std
"Girard, Samuel",COL,"LD, RD",Left,26,3,19,22,0.0,"$5,000,000","$5,000,000",7 yrs,Std (Ext)
"Demko, Thatcher",VAN,G,Left,29,0,0,0,0.891,"$5,000,000","$6,000,000",5 yrs,Std (Ext)
"Batherson, Drake",OTT,"RW, LW",Right,26,18,35,53,0.0,"$4,975,000","$5,400,000",6 yrs,Std
"Garland, Conor",VAN,"RW, LW",Right,29,16,23,39,0.0,"$4,950,000","$6,000,000",5 yrs,Std (Ext)
"Hill, Adin",VGK,G,Left,28,0,0,0,0.906,"$4,900,000","$4,200,000",2 yrs,Std (Ext)
"Coleman, Blake",CGY,"RW, LW",Left,33,13,18,31,0.0,"$4,900,000","$4,900,000",6 yrs,Std
