,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position
588,Cody Franson,2.767272727272727,0.6636363636363637,0.07818181818181819,0.00909090909090909,0.025454545454545455,1.7945454545454544,0.056363636363636366,2.16,0.012727272727272728,0.06363636363636363,0.6872727272727273,3.403636363636364,0.3490909090909091,0.38545454545454544,0.0018181818181818182,0.12181818181818181,23.634545454545453,3.361818181818182,1.5618181818181818,0.4,0.0,0.0,550,1052.2890909090909,0.00890909090909091,0.008818181818181817,0.07454545454545454,1.0945454545454545,0.30727272727272725,1,D
590,Cody Goloubef,2.7358490566037736,0.34591194968553457,0.018867924528301886,0.0,0.006289308176100629,1.1132075471698113,0.018867924528301886,1.2075471698113207,0.0,0.025157232704402517,0.41509433962264153,1.89937106918239,0.4779874213836478,0.1509433962264151,0.0,0.06289308176100629,20.0,1.8238993710691824,0.8238993710691824,0.0880503144654088,0.0,0.0,159,910.0566037735849,0.02251572327044025,0.022955974842767294,0.06918238993710692,0.9685534591194969,0.1320754716981132,1,D
597,Colby Cohen,3.6666666666666665,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,26.333333333333332,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,3,1064.0,0.15666666666666665,0.17,1.3333333333333333,1.0,0.0,1,D
598,Colby Robak,2.723404255319149,0.3617021276595745,0.0,0.0,0.02127659574468085,0.8085106382978723,0.0,1.0638297872340425,0.0,0.0851063829787234,0.3404255319148936,2.404255319148936,0.3191489361702128,0.0851063829787234,0.0,0.0,22.25531914893617,1.8297872340425532,0.8297872340425532,0.2127659574468085,0.0,0.0,47,950.6808510638298,0.03936170212765957,0.03914893617021276,0.1702127659574468,0.9361702127659575,0.0851063829787234,1,D
603,Cole McWard,0.5,0.6666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,0.16666666666666666,1.8333333333333333,0.0,0.0,0.6666666666666666,1.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,17.833333333333332,3.1666666666666665,1.1666666666666667,0.0,0.0,0.0,6,801.5,0.19333333333333333,0.15833333333333333,0.0,1.0,0.0,1,D
614,Colin Miller,1.855098389982111,0.5813953488372093,0.07334525939177101,0.007155635062611807,0.017889087656529516,1.6386404293381038,0.06082289803220036,2.259391771019678,0.005366726296958855,0.07155635062611806,0.7996422182468694,3.103756708407871,0.5885509838998211,0.31663685152057247,0.0,0.13416815742397137,22.033989266547405,3.7567084078711988,1.549194991055456,0.2898032200357782,0.0,0.0017889087656529517,559,1035.169946332737,0.00960644007155635,0.009516994633273703,0.2075134168157424,0.8568872987477638,0.24329159212880144,1,D
617,Colin White,2.9046822742474916,0.45484949832775917,0.0802675585284281,0.028428093645484948,0.10033444816053512,1.1638795986622072,0.021739130434782608,1.1153846153846154,0.030100334448160536,0.29264214046822745,0.46321070234113715,2.5451505016722407,0.4280936454849498,0.25418060200668896,0.016722408026755852,0.08361204013377926,21.88628762541806,2.0066889632107023,1.0451505016722409,0.2625418060200669,2.1755852842809364,1.7926421404682273,598,949.8227424749164,0.01076923076923077,0.010785953177257526,0.15217391304347827,0.959866220735786,0.17391304347826086,1,D
620,Colten Teubert,1.0833333333333333,0.375,0.0,0.0,0.0,2.8333333333333335,0.0,0.6666666666666666,0.0,0.08333333333333333,0.20833333333333334,1.375,1.0416666666666667,0.041666666666666664,0.0,0.08333333333333333,18.5,1.375,0.5416666666666666,0.041666666666666664,0.0,0.0,24,758.5,0.01916666666666667,0.01875,0.16666666666666666,1.1666666666666667,0.041666666666666664,1,D
624,Colton Parayko,4.2995839112343965,0.6185852981969486,0.10402219140083217,0.019417475728155338,0.047156726768377254,1.3051317614424411,0.07350901525658807,2.722607489597781,0.011095700416088766,0.11650485436893204,0.8044382801664355,2.754507628294036,0.27461858529819694,0.40499306518723993,0.012482662968099861,0.14701803051317613,28.466019417475728,4.0624133148405,2.0818307905686546,0.5742024965325936,0.0,0.0,721,1346.2829403606102,0.0064909847434119275,0.006588072122052704,0.14008321775312066,1.9084604715672677,0.30097087378640774,1,D
627,Colton White,2.261904761904762,0.34523809523809523,0.0,0.0,0.023809523809523808,0.7738095238095238,0.0,0.8333333333333334,0.0,0.08333333333333333,0.2976190476190476,1.3452380952380953,0.2619047619047619,0.11904761904761904,0.0,0.07142857142857142,19.392857142857142,1.380952380952381,0.6428571428571429,0.11904761904761904,0.0,0.0,84,843.9404761904761,0.024047619047619047,0.024047619047619047,0.05952380952380952,0.6785714285714286,0.11904761904761904,1,D
